,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions_y,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
54,Allan-Romeo Nyom,West Bromwich Albion,78,RB,77.0,76,78,50.16666667,51,27,66,37,76,44,59.33333333,75,68,30,64,65,54,62,50,50,72,73,0,77.0,69,75,77,83,81,77.5,80,57,86,87,4.0,39.0,72.0,0.74,0.0,3.0,60.0,101.0,55.0,0.0,151.0,139.0,120.0,30.0,21.0,19.0,0.0,0.0,2.0,735.0,22.97,1.0,78.0,0.21,0.0,41.0,8.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0
55,Ben Davies,Tottenham Hotspur,78,LB,78.0,79,77,50.33333333,58,51,43,54,59,37,66.0,75,64,48,68,74,67,71,72,65,76,72,0,75.4,63,74,80,79,81,70.75,61,70,81,71,8.0,13.0,39.0,0.72,0.0,7.0,12.0,78.0,41.0,0.0,61.0,121.0,81.0,8.0,48.0,43.0,0.0,0.0,3.0,1052.0,45.74,4.0,75.0,0.25,1.0,45.0,1.0,0.0,13.0,2.0,1.0,0.0,0.0,1.0,0.0
56,Havard Nordtveit,West Ham United,78,CB,63.5,63,64,54.83333333,57,40,66,56,72,38,69.16666667,66,64,66,77,73,69,64,61,59,71,77,0,77.2,77,75,78,79,77,76.5,78,68,79,81,2.0,20.0,18.0,0.78,0.0,4.0,24.0,25.0,15.0,0.0,61.0,49.0,35.0,4.0,19.0,7.0,0.0,0.0,1.0,413.0,25.81,1.0,9.0,0.11,0.0,43.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Kevin Wimmer,Tottenham Hotspur,78,CB,67.0,64,70,29.66666667,30,21,25,35,40,27,51.16666667,52,24,28,70,74,59,63,59,61,67,78,0,78.2,75,79,78,81,78,73.0,76,73,63,80,0.0,4.0,3.0,0.67,0.0,0.0,4.0,13.0,9.0,0.0,8.0,13.0,8.0,1.0,8.0,3.0,1.0,0.0,0.0,225.0,45.0,0.0,1.0,0.0,0.0,13.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Wes Morgan,Leicester City,77,CB,50.0,46,54,30.83333333,39,19,35,17,52,23,33.0,17,14,18,44,56,49,56,31,52,62,76,0,76.8,75,78,77,78,76,79.75,79,76,73,91,5.0,45.0,27.0,0.52,0.0,5.0,52.0,141.0,83.0,0.0,93.0,104.0,78.0,4.0,65.0,45.0,0.0,0.0,0.0,653.0,24.19,0.0,0.0,0.0,0.0,33.0,3.0,0.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0
59,Jordi Amat,Swansea City,77,CB,67.5,63,72,43.33333333,30,34,65,28,75,28,47.66666667,31,40,36,52,68,59,50,59,58,65,70,0,76.0,74,71,78,77,80,76.75,82,78,68,79,5.0,69.0,88.0,0.7,0.0,0.0,91.0,251.0,108.0,1.0,183.0,180.0,188.0,13.0,62.0,97.0,0.0,4.0,0.0,1866.0,35.88,0.0,2.0,0.02,0.0,164.0,11.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Younes Kaboul,Watford,77,CB,62.0,52,72,49.5,51,21,55,54,82,34,51.33333333,56,44,33,54,70,51,52,53,47,61,68,0,76.8,81,74,74,79,76,78.5,84,78,69,83,3.0,36.0,37.0,0.54,0.0,3.0,47.0,136.0,62.0,0.0,138.0,118.0,86.0,11.0,65.0,35.0,0.0,1.0,0.0,701.0,30.48,0.0,13.0,0.0,0.0,80.0,2.0,0.0,19.0,0.0,2.0,0.0,2.0,0.0,1.0
61,Glen Johnson,Stoke City,77,RB,77.0,77,77,65.16666667,68,58,70,60,79,56,68.5,75,69,54,70,75,68,78,73,68,76,74,0,74.2,68,69,77,77,80,75.75,75,77,79,72,6.0,34.0,49.0,0.71,0.0,4.0,38.0,65.0,24.0,1.0,116.0,116.0,89.0,27.0,22.0,12.0,0.0,1.0,0.0,740.0,32.17,3.0,32.0,0.19,1.0,58.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Luis Hernandez,Leicester City,77,CB,72.0,71,73,54.0,55,37,55,54,70,53,61.5,69,58,42,71,74,55,59,68,67,73,77,0,77.2,69,82,76,78,81,76.5,68,81,82,75,0.0,8.0,7.0,0.71,0.0,0.0,9.0,9.0,6.0,0.0,28.0,12.0,21.0,0.0,4.0,10.0,0.0,0.0,0.0,155.0,38.75,0.0,10.0,0.4,0.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Kieran Trippier,Tottenham Hotspur,77,RB,78.0,78,78,55.16666667,60,45,66,39,77,44,73.16666667,84,75,68,69,71,72,72,78,76,71,71,0,73.6,69,74,75,74,76,73.25,66,73,85,69,2.0,3.0,17.0,0.76,0.0,2.0,7.0,13.0,4.0,0.0,31.0,26.0,22.0,0.0,4.0,5.0,0.0,0.0,5.0,346.0,28.83,5.0,29.0,0.24,0.0,12.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
64,Ramiro Funes Mori,Everton,77,CB,72.0,69,75,49.0,49,40,59,52,69,25,58.16666667,73,49,58,55,67,47,63,66,61,69,71,0,76.0,80,71,75,78,76,78.75,83,78,75,79,7.0,19.0,26.0,0.62,0.0,2.0,31.0,111.0,68.0,2.0,108.0,93.0,65.0,7.0,46.0,27.0,0.0,0.0,1.0,794.0,34.52,2.0,5.0,0.0,0.0,89.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
65,Jose Holebas,Watford,77,LB,82.0,78,86,67.0,71,61,78,57,85,50,68.33333333,77,69,71,69,70,54,73,76,75,75,71,0,75.2,74,68,77,77,80,79.75,82,74,84,79,6.0,61.0,62.0,0.68,0.0,11.0,55.0,114.0,59.0,1.0,225.0,176.0,162.0,43.0,47.0,28.0,0.0,2.0,4.0,1158.0,35.09,3.0,164.0,0.21,0.0,46.0,14.0,0.0,43.0,1.0,2.0,0.0,0.0,2.0,0.0
66,Sebastian Prodl,Watford,77,CB,52.5,53,52,34.5,37,34,32,35,47,22,44.16666667,44,32,38,49,56,46,30,34,33,54,73,0,77.8,85,74,77,80,73,71.5,83,50,65,88,4.0,49.0,36.0,0.75,0.0,4.0,52.0,183.0,90.0,0.0,115.0,121.0,90.0,2.0,62.0,36.0,0.0,2.0,1.0,1070.0,32.42,1.0,3.0,0.0,0.0,111.0,10.0,1.0,44.0,0.0,1.0,1.0,0.0,0.0,1.0
67,Christian Fuchs,Leicester City,77,LB,67.0,66,68,71.83333333,74,57,79,68,83,70,79.16666667,86,86,80,73,77,73,69,66,60,75,76,0,76.4,76,77,76,77,76,77.75,78,76,80,77,8.0,57.0,97.0,0.82,1.0,4.0,71.0,143.0,90.0,0.0,206.0,186.0,151.0,13.0,69.0,61.0,0.0,0.0,4.0,1294.0,35.94,4.0,96.0,0.26,0.0,96.0,10.0,0.0,29.0,1.0,2.0,0.0,1.0,1.0,1.0
68,Daryl Janmaat, Watford,77,RB,74.5,74,75,65.33333333,68,55,64,62,76,67,66.83333333,73,64,56,68,70,70,74,72,66,76,79,0,73.8,70,73,74,77,75,80.5,84,71,92,75,1.0,33.0,45.0,0.69,0.0,7.0,20.0,35.0,18.0,0.0,102.0,85.0,89.0,16.0,21.0,21.0,0.0,0.0,1.0,604.0,22.37,2.0,52.0,0.25,1.0,43.0,2.0,0.0,17.0,5.0,2.0,0.0,1.0,1.0,1.0
69,Geoff Cameron,Stoke City,77,CB,68.5,68,69,59.83333333,62,54,59,63,65,56,65.33333333,60,60,60,66,73,73,67,76,53,70,71,0,77.2,73,78,77,81,77,76.5,77,77,77,75,6.0,25.0,48.0,0.77,0.0,4.0,32.0,47.0,26.0,0.0,121.0,146.0,103.0,26.0,55.0,43.0,0.0,0.0,1.0,787.0,41.42,1.0,14.0,0.29,1.0,45.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
70,Pape Souare,Crystal Palace,76,LB,81.0,83,79,54.5,73,43,54,49,65,43,71.16666667,77,75,69,70,72,64,74,78,74,72,73,0,73.4,74,67,73,74,79,79.0,79,89,75,73,0.0,3.0,5.0,0.6,0.0,0.0,10.0,12.0,3.0,0.0,14.0,10.0,10.0,1.0,0.0,5.0,0.0,0.0,0.0,97.0,32.33,0.0,15.0,0.13,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Alberto Moreno,Liverpool,76,LB,89.0,89,89,63.5,73,65,74,54,80,35,62.33333333,79,59,40,64,74,58,77,86,87,81,68,0,67.6,61,68,62,71,76,79.0,83,85,85,63,0.0,7.0,6.0,1.0,0.0,1.0,2.0,17.0,6.0,0.0,15.0,17.0,12.0,3.0,2.0,4.0,0.0,0.0,1.0,182.0,15.17,0.0,13.0,0.23,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
72,Erik Pieters,Stoke City,76,LB,68.0,67,69,46.5,61,32,36,65,51,34,64.66666667,64,67,56,64,75,62,64,65,57,73,71,0,77.4,73,76,77,80,81,76.75,85,68,78,76,10.0,50.0,106.0,0.76,0.0,4.0,54.0,110.0,57.0,0.0,191.0,231.0,154.0,15.0,54.0,39.0,0.0,1.0,1.0,1331.0,36.97,1.0,109.0,0.18,1.0,58.0,4.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0
73,Miguel Angel Britos,Watford,76,CB,54.5,54,55,32.5,24,37,31,51,30,22,49.5,43,47,52,64,60,31,47,49,54,58,66,0,76.6,74,75,77,80,77,74.75,76,83,61,79,4.0,36.0,34.0,0.91,0.0,5.0,49.0,144.0,84.0,0.0,140.0,143.0,106.0,4.0,86.0,45.0,0.0,0.0,2.0,1025.0,37.96,2.0,12.0,0.17,1.0,94.0,6.0,2.0,36.0,2.0,1.0,1.0,0.0,0.0,0.0
74,James Collins, West Ham United,76,CB,40.5,47,34,46.66666667,34,38,51,51,70,36,51.5,38,29,64,65,59,54,38,33,34,59,70,0,77.0,81,75,74,78,77,74.75,85,62,67,85,6.0,28.0,21.0,0.81,1.0,1.0,38.0,147.0,95.0,0.0,60.0,86.0,49.0,1.0,59.0,28.0,0.0,1.0,0.0,580.0,26.36,0.0,0.0,0.0,0.0,50.0,3.0,0.0,7.0,1.0,2.0,1.0,0.0,1.0,0.0
75,James Tomkins,Crystal Palace,76,CB,55.5,55,56,35.66666667,45,29,29,43,40,28,46.66666667,45,33,31,60,61,50,50,51,53,58,73,0,77.6,78,74,77,79,80,74.5,73,74,75,76,3.0,36.0,28.0,0.64,1.0,1.0,37.0,124.0,65.0,0.0,93.0,96.0,69.0,2.0,58.0,40.0,0.0,0.0,0.0,728.0,30.33,0.0,3.0,0.67,0.0,76.0,4.0,0.0,10.0,0.0,3.0,0.0,2.0,1.0,0.0
76,Gareth McAuley,West Bromwich Albion,76,CB,43.0,52,34,40.16666667,45,50,30,49,44,23,46.16666667,49,39,33,51,53,52,27,34,33,66,75,0,76.8,81,76,77,81,69,74.25,79,72,67,79,6.0,45.0,50.0,0.74,0.0,1.0,71.0,227.0,148.0,1.0,136.0,190.0,98.0,18.0,113.0,47.0,1.0,2.0,1.0,742.0,20.61,0.0,4.0,0.5,0.0,106.0,5.0,0.0,27.0,0.0,6.0,4.0,2.0,0.0,2.0
77,Marc Muniesa,Stoke City,76,CB,61.0,54,68,44.66666667,61,42,37,50,46,32,60.33333333,67,66,40,56,72,61,63,62,66,73,70,0,75.4,70,78,74,78,77,75.75,78,83,74,68,3.0,7.0,21.0,0.62,0.0,2.0,23.0,31.0,17.0,0.0,34.0,42.0,31.0,4.0,11.0,9.0,0.0,0.0,0.0,308.0,30.8,0.0,8.0,0.13,0.0,10.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0
78,Angel Rangel,Swansea City,76,RB,59.5,64,55,58.0,65,56,59,59,66,43,68.66666667,80,63,57,71,70,71,73,68,55,75,75,0,78.6,76,82,78,80,77,73.5,68,75,75,76,1.0,24.0,32.0,0.72,0.0,0.0,26.0,31.0,17.0,0.0,51.0,57.0,38.0,5.0,13.0,13.0,0.0,0.0,0.0,545.0,30.28,1.0,11.0,0.36,1.0,37.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0
79,Christian Kabasele,Watford,76,CB,77.5,77,78,52.66666667,57,53,44,53,57,52,43.5,47,34,27,57,60,36,59,63,64,64,71,0,76.2,76,74,74,76,81,80.75,77,81,82,83,1.0,15.0,15.0,0.8,0.0,2.0,17.0,40.0,28.0,0.0,26.0,39.0,43.0,2.0,18.0,19.0,0.0,0.0,0.0,238.0,14.88,0.0,10.0,0.3,0.0,24.0,1.0,0.0,13.0,0.0,2.0,1.0,1.0,0.0,0.0
80,Jonas Olsson,West Bromwich Albion,76,CB,48.0,46,50,54.16666667,50,56,57,51,61,50,60.83333333,60,59,60,61,70,55,47,34,42,64,80,0,75.4,80,81,74,72,70,72.75,82,65,62,82,1.0,13.0,4.0,0.5,0.0,0.0,11.0,38.0,24.0,0.0,20.0,27.0,22.0,3.0,15.0,6.0,0.0,0.0,0.0,161.0,23.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
81,Aaron Cresswell,West Ham United,76,LB,78.0,78,78,58.33333333,60,53,62,59,71,45,72.0,80,75,69,68,72,68,76,78,90,75,68,0,71.6,58,71,76,75,78,73.25,68,85,83,57,4.0,35.0,21.0,0.71,0.0,4.0,25.0,61.0,27.0,0.0,101.0,74.0,88.0,9.0,36.0,33.0,0.0,1.0,2.0,758.0,29.15,4.0,97.0,0.18,0.0,57.0,2.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
82,Jeremy Pied,Southampton,75,RB,77.5,77,78,71.16666667,70,68,74,63,83,69,74.16666667,78,75,73,75,77,67,75,78,77,75,68,0,71.4,71,73,71,72,70,74.0,77,70,80,69,0.0,1.0,3.0,0.67,0.0,1.0,2.0,2.0,1.0,0.0,11.0,8.0,7.0,2.0,0.0,4.0,0.0,0.0,0.0,70.0,17.5,0.0,13.0,0.08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Neil Taylor,Swansea City,75,LB,73.0,78,68,43.66666667,60,30,47,44,46,35,62.83333333,68,69,34,70,72,64,68,70,83,74,64,0,75.4,63,78,75,79,82,69.5,66,74,74,64,1.0,26.0,22.0,0.82,0.0,0.0,25.0,20.0,9.0,0.0,55.0,36.0,39.0,3.0,7.0,5.0,0.0,0.0,0.0,361.0,32.82,0.0,28.0,0.32,0.0,8.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Matthew Lowton,Burnley,75,RB,76.5,77,76,62.16666667,60,49,68,49,72,75,61.5,75,62,40,61,71,60,69,69,65,72,76,0,72.2,69,74,70,74,74,76.0,74,77,83,70,9.0,53.0,101.0,0.68,0.0,0.0,65.0,176.0,93.0,2.0,188.0,196.0,129.0,24.0,53.0,37.0,0.0,0.0,2.0,1084.0,30.11,2.0,115.0,0.22,4.0,116.0,9.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Joel Ward,Crystal Palace,75,RB,68.5,68,69,52.66666667,64,46,63,40,70,33,59.5,73,43,34,69,70,68,64,66,63,67,73,0,76.8,75,77,77,78,77,73.75,74,66,77,78,7.0,63.0,89.0,0.76,0.0,6.0,59.0,133.0,73.0,1.0,194.0,222.0,146.0,20.0,62.0,43.0,0.0,0.0,1.0,1300.0,34.21,2.0,78.0,0.19,1.0,93.0,7.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Joel Ward,Crystal Palace,75,RB,68.5,68,69,52.66666667,64,46,63,40,70,33,59.5,73,43,34,69,70,68,64,66,63,67,73,0,76.8,75,77,77,78,77,73.75,74,66,77,78,8.0,53.0,70.0,0.67,0.0,3.0,74.0,153.0,82.0,0.0,176.0,196.0,149.0,15.0,64.0,57.0,0.0,1.0,1.0,1130.0,30.54,3.0,111.0,0.23,0.0,111.0,5.0,0.0,35.0,0.0,1.0,0.0,0.0,1.0,0.0
87,Damien Delaney,Crystal Palace,75,CB,44.5,43,46,44.5,33,32,59,66,49,28,48.0,51,32,49,60,51,45,28,30,41,55,71,0,75.2,77,73,75,75,76,76.0,85,58,75,86,2.0,39.0,25.0,0.8,2.0,1.0,35.0,150.0,82.0,1.0,85.0,96.0,91.0,0.0,59.0,55.0,0.0,0.0,2.0,889.0,29.63,3.0,5.0,0.4,1.0,108.0,8.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Michael Keane,Burnley,75,CB,68.5,70,67,36.5,23,41,43,48,34,30,48.5,49,32,25,67,71,47,59,46,59,64,68,0,76.6,78,75,76,78,76,73.5,55,80,77,82,10.0,49.0,28.0,0.86,0.0,8.0,63.0,260.0,170.0,0.0,150.0,193.0,109.0,5.0,152.0,78.0,0.0,0.0,1.0,1128.0,32.23,1.0,3.0,0.33,0.0,126.0,4.0,0.0,14.0,1.0,2.0,1.0,1.0,0.0,1.0
89,Kyle Naughton,Swansea City,75,RB,75.5,76,75,53.0,54,45,52,47,68,52,56.66666667,71,43,28,66,73,59,64,71,71,68,70,0,74.2,70,73,71,78,79,70.75,68,73,74,68,7.0,48.0,76.0,0.71,0.0,9.0,41.0,115.0,50.0,1.0,146.0,186.0,151.0,26.0,65.0,38.0,1.0,0.0,0.0,1392.0,44.9,1.0,79.0,0.27,0.0,88.0,5.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0
90,Mike van der Hoorn,Swansea City,75,CB,53.0,40,66,42.0,40,42,31,40,73,26,42.66666667,36,33,31,62,57,37,45,37,40,54,62,0,75.2,82,70,75,79,70,73.75,64,83,59,89,1.0,20.0,9.0,0.89,0.0,0.0,18.0,56.0,33.0,0.0,54.0,42.0,34.0,0.0,24.0,14.0,0.0,0.0,0.0,324.0,40.5,0.0,0.0,0.0,0.0,39.0,1.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0
91,Arthur Masuaku,West Ham United,75,LB,84.0,85,83,66.16666667,70,69,71,49,77,61,67.0,75,69,48,68,71,71,78,77,74,76,75,0,69.2,60,66,73,74,73,71.25,65,69,75,76,3.0,24.0,40.0,0.78,0.0,1.0,26.0,27.0,14.0,0.0,89.0,96.0,71.0,30.0,16.0,15.0,0.0,0.0,1.0,468.0,36.0,1.0,30.0,0.23,0.0,32.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Danny Simpson,Leicester City,75,RB,74.0,76,72,46.66666667,58,27,54,54,37,50,54.83333333,68,44,32,58,64,63,64,64,81,67,75,0,75.0,70,77,75,77,76,77.25,79,79,79,72,9.0,50.0,50.0,0.8,1.0,2.0,68.0,142.0,74.0,1.0,175.0,119.0,122.0,6.0,52.0,66.0,0.0,0.0,2.0,1092.0,31.2,1.0,26.0,0.42,0.0,64.0,12.0,0.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0
93,Ben Mee,Burnley,74,CB,69.0,69,69,36.83333333,30,27,39,36,60,29,52.0,67,38,31,65,61,50,63,66,73,65,68,0,73.4,72,73,75,72,75,79.0,68,91,79,78,9.0,49.0,47.0,0.68,2.0,2.0,72.0,300.0,171.0,3.0,163.0,195.0,117.0,1.0,126.0,77.0,2.0,1.0,0.0,1146.0,33.71,1.0,4.0,0.25,0.0,140.0,5.0,0.0,23.0,0.0,1.0,0.0,1.0,0.0,1.0
94,Nathan Ake,Bournemouth,74,LB,78.0,77,79,50.66666667,44,41,56,48,63,52,63.0,64,63,59,70,72,50,63,66,63,69,73,0,72.4,69,74,73,75,71,73.0,64,77,75,76,3.0,20.0,22.0,0.77,0.0,2.0,11.0,76.0,45.0,1.0,50.0,48.0,28.0,3.0,21.0,18.0,0.0,0.0,1.0,405.0,33.75,2.0,2.0,0.5,1.0,14.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0
95,Simon Francis,Bournemouth,74,CB,69.0,68,70,46.5,58,25,62,44,64,26,64.0,75,51,61,64,72,61,69,58,60,73,67,0,72.8,68,71,73,77,75,70.25,73,55,76,77,10.0,53.0,62.0,0.81,0.0,3.0,53.0,219.0,132.0,0.0,206.0,208.0,150.0,17.0,115.0,80.0,0.0,3.0,1.0,1656.0,48.71,2.0,66.0,0.2,0.0,143.0,4.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Maya Yoshida, Southampton,74,CB,66.0,67,65,46.16666667,42,34,41,54,50,56,43.16666667,23,38,33,52,63,50,57,74,62,63,73,0,73.8,74,67,75,77,76,75.25,66,85,75,75,7.0,32.0,30.0,0.7,0.0,2.0,47.0,144.0,80.0,0.0,143.0,125.0,80.0,1.0,75.0,56.0,0.0,0.0,0.0,1126.0,48.96,0.0,8.0,0.13,0.0,44.0,2.0,0.0,18.0,1.0,1.0,0.0,0.0,1.0,0.0
97,Steve Cook,Bournemouth,74,CB,60.0,67,53,25.0,12,24,16,20,47,31,41.16666667,40,22,22,60,68,35,54,56,70,68,69,0,73.8,71,72,74,79,73,73.0,74,71,68,79,10.0,67.0,46.0,0.67,0.0,6.0,76.0,352.0,222.0,2.0,229.0,223.0,113.0,19.0,145.0,74.0,1.0,2.0,0.0,1716.0,45.16,1.0,13.0,0.0,2.0,168.0,5.0,0.0,16.0,0.0,2.0,1.0,1.0,0.0,0.0
98,Yohan Benalouane,Leicester City,74,CB,66.0,66,66,43.83333333,46,24,39,38,68,48,55.0,61,51,52,62,64,40,47,60,63,59,67,0,72.8,67,76,73,75,73,75.0,79,79,60,82,4.0,15.0,17.0,0.71,0.0,1.0,26.0,56.0,33.0,0.0,49.0,40.0,46.0,3.0,18.0,23.0,0.0,0.0,0.0,188.0,17.09,0.0,0.0,0.0,0.0,16.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Charlie Daniels,Bournemouth,74,LB,78.5,79,78,55.83333333,69,48,46,72,68,32,70.33333333,74,67,68,68,73,72,71,73,72,72,63,0,70.4,64,69,71,76,72,70.0,51,78,79,72,25.0,170.0,192.0,0.74,1.0,17.0,138.0,259.0,112.0,1.0,607.0,466.0,338.0,105.0,114.0,113.0,0.0,1.0,11.0,5090.0,45.86,10.0,330.0,0.21,6.0,195.0,4.0,0.0,31.0,2.0,8.0,0.0,0.0,8.0,1.0
100,Sam Byram,West Ham United,73,RB,77.5,77,78,57.66666667,65,62,60,50,66,43,60.16666667,70,55,33,65,70,68,72,77,70,73,73,0,68.6,66,67,69,71,70,73.5,66,79,79,70,3.0,27.0,24.0,0.75,0.0,2.0,42.0,59.0,32.0,0.0,69.0,63.0,65.0,4.0,23.0,22.0,0.0,0.0,1.0,435.0,24.17,1.0,27.0,0.15,1.0,20.0,5.0,1.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0
101,Juan Camilo Zuniga,Watford,73,LB,86.0,88,84,67.83333333,70,56,72,67,76,66,69.5,76,74,59,70,74,64,80,88,86,78,68,0,66.4,54,68,66,70,74,68.75,71,68,68,68,0.0,15.0,19.0,0.84,0.0,3.0,18.0,22.0,6.0,0.0,44.0,54.0,34.0,3.0,10.0,7.0,0.0,0.0,0.0,358.0,17.05,0.0,11.0,0.09,2.0,19.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0
102,Phil Bardsley,Stoke City,73,RB,67.0,67,67,58.5,56,47,66,56,83,43,52.66666667,65,66,33,59,68,25,61,68,62,67,74,0,72.6,67,67,74,76,79,78.0,85,75,78,74,2.0,17.0,32.0,0.81,0.0,1.0,27.0,27.0,9.0,0.0,65.0,59.0,61.0,3.0,8.0,16.0,0.0,0.0,0.0,397.0,26.47,2.0,28.0,0.29,0.0,30.0,4.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Martin Kelly,Crystal Palace,73,RB,62.5,62,63,46.83333333,42,38,38,58,66,39,56.5,73,60,35,64,68,39,60,59,56,66,72,0,75.8,77,68,76,80,78,74.0,71,70,76,79,2.0,44.0,46.0,0.74,0.0,2.0,25.0,131.0,70.0,0.0,79.0,113.0,85.0,3.0,56.0,39.0,0.0,2.0,2.0,626.0,21.59,0.0,36.0,0.14,0.0,47.0,4.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0
104,Carl Jenkinson,Arsenal,73,RB,73.0,68,78,55.0,67,41,41,49,72,60,63.33333333,73,60,52,64,69,62,68,62,68,68,70,0,70.4,60,69,74,75,74,71.75,71,64,78,74,0.0,1.0,4.0,0.75,0.0,0.0,2.0,5.0,2.0,0.0,4.0,8.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,35.0,35.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Jon Flanagan,Burnley,73,RB,70.0,72,68,39.83333333,52,43,32,47,35,30,50.5,66,34,26,62,67,48,66,71,69,73,69,0,72.6,62,68,75,78,80,74.25,88,65,73,71,1.0,4.0,23.0,0.57,0.0,0.0,14.0,23.0,17.0,0.0,27.0,28.0,30.0,0.0,3.0,4.0,0.0,0.0,0.0,136.0,22.67,0.0,4.0,0.0,0.0,11.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Craig Cathcart,Watford,73,CB,61.0,55,67,35.16666667,27,29,41,28,56,30,48.66666667,39,39,39,61,71,43,47,64,58,59,69,0,73.6,74,68,76,77,73,70.75,69,70,71,73,2.0,21.0,23.0,0.65,0.0,0.0,18.0,52.0,25.0,2.0,48.0,49.0,38.0,1.0,23.0,15.0,0.0,0.0,1.0,364.0,24.27,1.0,4.0,0.5,0.0,35.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Adam Smith,Bournemouth,72,RB,77.0,78,76,54.5,59,43,68,48,69,40,64.66666667,69,59,66,61,69,64,72,75,69,72,72,0,67.6,56,70,70,72,70,64.25,62,53,74,68,8.0,61.0,85.0,0.71,0.0,8.0,54.0,71.0,36.0,0.0,175.0,220.0,184.0,36.0,31.0,50.0,1.0,0.0,5.0,1452.0,40.33,8.0,55.0,0.24,2.0,37.0,6.0,0.0,45.0,3.0,1.0,0.0,0.0,1.0,2.0
108,Adam Smith,Bournemouth,72,RB,77.0,78,76,54.5,59,43,68,48,69,40,64.66666667,69,59,66,61,69,64,72,75,69,72,72,0,67.6,56,70,70,72,70,64.25,62,53,74,68,0.0,8.0,5.0,0.4,0.0,1.0,3.0,9.0,4.0,0.0,14.0,9.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0,114.0,22.8,0.0,4.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Bryan Oviedo,Everton,72,LB,76.0,79,73,61.0,66,61,59,56,66,58,65.33333333,72,59,63,64,68,66,75,79,79,73,72,0,66.4,48,69,73,72,70,72.75,72,82,79,58,2.0,20.0,31.0,0.84,0.0,1.0,19.0,28.0,8.0,0.0,61.0,60.0,34.0,14.0,8.0,3.0,0.0,0.0,0.0,398.0,24.88,1.0,21.0,0.19,1.0,17.0,3.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
